"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
"3",4.7,3.2,1.3,0.2,"setosa"
"6",5.4,3.9,1.7,0.4,"setosa"
"7",4.6,3.4,1.4,0.3,"setosa"
"14",4.3,3,1.1,0.1,"setosa"
"15",5.8,4,1.2,0.2,"setosa"
"16",5.7,4.4,1.5,0.4,"setosa"
"17",5.4,3.9,1.3,0.4,"setosa"
"18",5.1,3.5,1.4,0.3,"setosa"
"25",4.8,3.4,1.9,0.2,"setosa"
"26",5,3,1.6,0.2,"setosa"
"28",5.2,3.5,1.5,0.2,"setosa"
"33",5.2,4.1,1.5,0.1,"setosa"
"36",5,3.2,1.2,0.2,"setosa"
"40",5.1,3.4,1.5,0.2,"setosa"
"44",5,3.5,1.6,0.6,"setosa"
"45",5.1,3.8,1.9,0.4,"setosa"
"46",4.8,3,1.4,0.3,"setosa"
"48",4.6,3.2,1.4,0.2,"setosa"
"55",6.5,2.8,4.6,1.5,"versicolor"
"61",5,2,3.5,1,"versicolor"
"64",6.1,2.9,4.7,1.4,"versicolor"
"65",5.6,2.9,3.6,1.3,"versicolor"
"68",5.8,2.7,4.1,1,"versicolor"
"74",6.1,2.8,4.7,1.2,"versicolor"
"77",6.8,2.8,4.8,1.4,"versicolor"
"79",6,2.9,4.5,1.5,"versicolor"
"82",5.5,2.4,3.7,1,"versicolor"
"83",5.8,2.7,3.9,1.2,"versicolor"
"87",6.7,3.1,4.7,1.5,"versicolor"
"89",5.6,3,4.1,1.3,"versicolor"
"90",5.5,2.5,4,1.3,"versicolor"
"94",5,2.3,3.3,1,"versicolor"
"108",7.3,2.9,6.3,1.8,"virginica"
"113",6.8,3,5.5,2.1,"virginica"
"114",5.7,2.5,5,2,"virginica"
"116",6.4,3.2,5.3,2.3,"virginica"
"118",7.7,3.8,6.7,2.2,"virginica"
"122",5.6,2.8,4.9,2,"virginica"
"126",7.2,3.2,6,1.8,"virginica"
"127",6.2,2.8,4.8,1.8,"virginica"
"128",6.1,3,4.9,1.8,"virginica"
"130",7.2,3,5.8,1.6,"virginica"
"134",6.3,2.8,5.1,1.5,"virginica"
"135",6.1,2.6,5.6,1.4,"virginica"
"138",6.4,3.1,5.5,1.8,"virginica"
"142",6.9,3.1,5.1,2.3,"virginica"
"143",5.8,2.7,5.1,1.9,"virginica"
"146",6.7,3,5.2,2.3,"virginica"
"147",6.3,2.5,5,1.9,"virginica"
"150",5.9,3,5.1,1.8,"virginica"
